dataset_name,data_version,source_name,source_timestamp,row_count,is_real_data,collected_at,notes
epl_historical_matches,2026-08-18.phase1,football-data.co.uk,2026-08-17T22:24:28+00:00,4560,True,2026-08-17T22:24:44+00:00,"Seasons 1415-2526; Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
epl_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-08-17T22:25:05+00:00,380,True,2026-08-17T22:25:06+00:00,Cross-checked against Wikipedia 2026-27 Premier League article for club list and season dates.
epl_2026_27_squads_transfers,2026-08-18.phase1,none_available,2026-08-17T22:26:26+00:00,20,False,2026-08-17T22:26:26+00:00,"No verified, licensed per-player squad/transfer feed is connected to this pipeline. This sentinel row exists so `team` joins still work; it must not be treated as a real player record. Replace with a real feed before using squad/transfer features for predictions."
epl_2026_27_injury_suspension,2026-08-18.phase1,none_available,2026-08-17T22:26:26+00:00,20,False,2026-08-17T22:26:26+00:00,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-17T22:26:26+00:00,380,False,2026-08-17T22:26:26+00:00,No live odds-API subscription is connected to this pipeline. Row exists only to preserve a match_id join for downstream code; market_available must be derived as False. Model predictions run in model-only mode until a real odds feed is wired in.
epl_2026_27_outright_odds,2026-08-18.phase1,none_available,2026-08-17T22:26:26+00:00,140,False,2026-08-17T22:26:26+00:00,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-18T03:16:11+00:00,380,False,2026-08-18T03:16:11+00:00,0 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-18T03:16:18+00:00,380,False,2026-08-18T03:16:19+00:00,0 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-18T03:19:02+00:00,380,False,2026-08-18T03:19:02+00:00,0 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-18T03:19:03+00:00,380,False,2026-08-18T03:19:04+00:00,0 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-18T03:19:04+00:00,380,False,2026-08-18T03:19:04+00:00,0 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_outright_odds,2026-08-18.phase1,none_available,2026-08-18T16:07:39+00:00,140,False,2026-08-18T16:07:39+00:00,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
epl_2026_27_outright_odds,2026-08-18.phase1,mixed: real_snapshot + none_available,2026-08-18T16:08:08+00:00,140,True,2026-08-18T16:08:08+00:00,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
epl_2026_27_match_odds,2026-08-18.phase1,none_available,2026-08-19T12:30:47+00:00,380,False,2026-08-19T12:30:47+00:00,No live match-odds feed is connected to this pipeline (see collect_real_odds.py -- needs a user-supplied ODDS_API_KEY). Match-level benchmarking against a real market is unavailable for this fixture until a real snapshot is manually logged; do not use these rows to influence predictions.
epl_2026_27_match_odds,2026-08-18.phase1,mixed: real_snapshot + none_available,2026-08-19T12:31:14+00:00,380,True,2026-08-19T12:31:14+00:00,No live match-odds feed is connected to this pipeline (see collect_real_odds.py -- needs a user-supplied ODDS_API_KEY). Match-level benchmarking against a real market is unavailable for this fixture until a real snapshot is manually logged; do not use these rows to influence predictions.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-19T17:23:28+00:00,579,True,2026-08-19T17:23:30+00:00,209 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-21T03:55:43+00:00,579,True,2026-08-21T03:55:43+00:00,209 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-21T03:59:27+00:00,579,True,2026-08-21T03:59:27+00:00,209 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-21T06:22:24+00:00,579,True,2026-08-21T06:22:25+00:00,209 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-22T06:17:51+00:00,575,True,2026-08-22T06:17:52+00:00,209 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-23T06:19:18+00:00,613,True,2026-08-23T06:19:18+00:00,247 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-24T06:31:13+00:00,686,True,2026-08-24T06:31:13+00:00,327 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-25T06:22:41+00:00,721,True,2026-08-25T06:22:41+00:00,361 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-25T19:04:46+00:00,719,True,2026-08-25T19:04:46+00:00,359 real bookmaker rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-25T22:20:18+00:00,2512,True,2026-08-25T22:20:19+00:00,1432 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-25T22:22:16+00:00,2512,True,2026-08-25T22:22:16+00:00,1432 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-26T06:24:38+00:00,2518,True,2026-08-26T06:24:38+00:00,1438 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-27T16:55:14+00:00,2488,True,2026-08-27T16:55:14+00:00,1408 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-28T17:46:03+00:00,2514,True,2026-08-28T17:46:03+00:00,1434 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-08-29T11:50:40+00:00,2463,True,2026-08-29T11:50:40+00:00,1380 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-30T10:47:34+00:00,1140,False,2026-08-30T10:47:34+00:00,0 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-08-31T11:56:27+00:00,1140,False,2026-08-31T11:56:27+00:00,0 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,none_available,2026-09-01T10:36:12+00:00,1140,False,2026-09-01T10:36:12+00:00,0 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-01T14:08:04+00:00,2458,True,2026-09-01T14:08:04+00:00,1378 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-02T10:01:31+00:00,2460,True,2026-09-02T10:01:32+00:00,1380 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-03T10:11:53+00:00,2500,True,2026-09-03T10:11:53+00:00,1420 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-04T10:01:58+00:00,2503,True,2026-09-04T10:01:58+00:00,1423 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-05T09:31:38+00:00,2423,True,2026-09-05T09:31:38+00:00,1340 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-06T09:45:32+00:00,2333,True,2026-09-06T09:45:32+00:00,1259 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-07T10:49:59+00:00,2408,True,2026-09-07T10:49:59+00:00,1328 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-08T10:09:38+00:00,2458,True,2026-09-08T10:09:38+00:00,1378 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-09T10:12:29+00:00,2470,True,2026-09-09T10:12:30+00:00,1390 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-10T10:07:18+00:00,2470,True,2026-09-10T10:07:19+00:00,1390 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-11T10:04:40+00:00,2497,True,2026-09-11T10:04:40+00:00,1417 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-12T09:40:30+00:00,2498,True,2026-09-12T09:40:30+00:00,1418 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-13T10:41:35+00:00,2225,True,2026-09-13T10:41:35+00:00,1154 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-14T11:03:04+00:00,2459,True,2026-09-14T11:03:05+00:00,1382 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-15T10:33:01+00:00,2410,True,2026-09-15T10:33:01+00:00,1330 real bookmaker/market rows; rest are honest unavailable sentinels.
la_liga_historical_matches,2026-08-18.phase1,football-data.co.uk,2026-09-16T07:04:04+00:00,4560,True,2026-09-16T07:04:22+00:00,"Seasons 1415-2526; Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
la_liga_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-09-16T07:04:40+00:00,380,True,2026-09-16T07:04:40+00:00,La Liga 2026-27 fixture list from fixturedownload.com.
la_liga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-16T07:07:05+00:00,1547,True,2026-09-16T07:07:06+00:00,425 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-16T10:21:49+00:00,2390,True,2026-09-16T10:21:50+00:00,1310 real bookmaker/market rows; rest are honest unavailable sentinels.
serie_a_historical_matches,2026-08-18.phase1,football-data.co.uk,2026-09-16T18:51:32+00:00,4560,True,2026-09-16T18:51:51+00:00,"Seasons 1415-2526; Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
serie_a_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-09-16T18:51:56+00:00,380,True,2026-09-16T18:51:57+00:00,Serie A 2026-27 fixture list from fixturedownload.com.
serie_a_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-16T18:52:10+00:00,1878,True,2026-09-16T18:52:11+00:00,777 real bookmaker/market rows; rest are honest unavailable sentinels.
bundesliga_historical_matches,2026-08-18.phase1,football-data.co.uk,2026-09-16T19:57:25+00:00,3672,True,2026-09-16T19:57:44+00:00,"Seasons 1415-2526; Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
bundesliga_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-09-16T19:57:50+00:00,306,True,2026-09-16T19:57:52+00:00,Bundesliga 2026-27 fixture list from fixturedownload.com.
bundesliga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-16T19:57:59+00:00,1394,True,2026-09-16T19:57:59+00:00,506 real bookmaker/market rows; rest are honest unavailable sentinels.
ligue_1_historical_matches,2026-08-18.phase1,football-data.co.uk,2026-09-16T20:27:13+00:00,4237,True,2026-09-16T20:27:32+00:00,"Seasons 1415-2526; Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
ligue_1_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-09-16T20:27:38+00:00,306,True,2026-09-16T20:27:38+00:00,Ligue 1 2026-27 fixture list from fixturedownload.com.
ligue_1_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-16T20:27:44+00:00,1757,True,2026-09-16T20:27:44+00:00,893 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-18T10:07:50+00:00,2370,True,2026-09-18T10:07:50+00:00,1290 real bookmaker/market rows; rest are honest unavailable sentinels.
la_liga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-18T10:07:50+00:00,1651,True,2026-09-18T10:07:51+00:00,541 real bookmaker/market rows; rest are honest unavailable sentinels.
serie_a_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-18T10:07:51+00:00,1921,True,2026-09-18T10:07:51+00:00,820 real bookmaker/market rows; rest are honest unavailable sentinels.
bundesliga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-18T10:07:51+00:00,1424,True,2026-09-18T10:07:51+00:00,536 real bookmaker/market rows; rest are honest unavailable sentinels.
ligue_1_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-18T10:07:52+00:00,1788,True,2026-09-18T10:07:52+00:00,924 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-19T09:48:53+00:00,2297,True,2026-09-19T09:48:53+00:00,1214 real bookmaker/market rows; rest are honest unavailable sentinels.
la_liga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-19T09:48:53+00:00,1653,True,2026-09-19T09:48:54+00:00,543 real bookmaker/market rows; rest are honest unavailable sentinels.
serie_a_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-19T09:48:54+00:00,1848,True,2026-09-19T09:48:54+00:00,744 real bookmaker/market rows; rest are honest unavailable sentinels.
bundesliga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-19T09:48:54+00:00,1363,True,2026-09-19T09:48:55+00:00,472 real bookmaker/market rows; rest are honest unavailable sentinels.
ligue_1_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-19T09:48:55+00:00,1755,True,2026-09-19T09:48:56+00:00,888 real bookmaker/market rows; rest are honest unavailable sentinels.
epl_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T10:10:30+00:00,2232,True,2026-09-20T10:10:30+00:00,1164 real bookmaker/market rows; rest are honest unavailable sentinels.
la_liga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T10:10:30+00:00,1507,True,2026-09-20T10:10:30+00:00,391 real bookmaker/market rows; rest are honest unavailable sentinels.
serie_a_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T10:10:30+00:00,1613,True,2026-09-20T10:10:31+00:00,500 real bookmaker/market rows; rest are honest unavailable sentinels.
bundesliga_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T10:10:31+00:00,1154,True,2026-09-20T10:10:31+00:00,254 real bookmaker/market rows; rest are honest unavailable sentinels.
ligue_1_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T10:10:31+00:00,1512,True,2026-09-20T10:10:31+00:00,630 real bookmaker/market rows; rest are honest unavailable sentinels.
nations_league_2026_27_fixtures,2026-08-18.phase1,fixturedownload.com,2026-09-20T23:11:23+00:00,156,True,2026-09-20T23:11:24+00:00,"UEFA Nations League 2026-27 fixture list from fixturedownload.com (Round 1-6, groups A-D)."
nations_league_historical_matches,2026-08-18.phase1,fixturedownload.com,2026-09-20T23:12:08+00:00,167,True,2026-09-20T23:12:08+00:00,"UEFA Nations League 2024-25 cycle, the only prior cycle fixturedownload.com publishes -- genuinely thin (167 real matches) versus a domestic league's 2,000+. 1 real abandoned match (Romania v Kosovo, 2024-11-15) excluded, not fabricated."
nations_league_2026_27_real_odds,2026-08-18.phase1,the-odds-api.com,2026-09-20T23:12:12+00:00,1355,True,2026-09-20T23:12:12+00:00,980 real bookmaker/market rows; rest are honest unavailable sentinels.
nations_league_historical_matches,2026-08-18.phase1,fixturedownload.com,2026-09-20T23:17:25+00:00,167,True,2026-09-20T23:17:26+00:00,"UEFA Nations League 2024-25 cycle, the only prior cycle fixturedownload.com publishes -- genuinely thin (167 real matches) versus a domestic league's 2,000+. 1 real abandoned match (Romania v Kosovo, 2024-11-15) excluded, not fabricated."
